Time resolution is 1 ps
At time 0, value = xxxxxxxx (x)
At time 5000, value = 00000000 (0)
At time 15000, value = 00000001 (1)
At time 25000, value = 00000002 (2)
At time 35000, value = 00000003 (3)
At time 45000, value = 00000004 (4)
At time 55000, value = 00000005 (5)
At time 65000, value = 00000006 (6)
At time 75000, value = 00000007 (7)
At time 85000, value = 00000008 (8)
At time 95000, value = 00000009 (9)
At time 105000, value = 0000000a (10)
At time 115000, value = 0000000b (11)
At time 125000, value = 0000000c (12)
At time 135000, value = 0000000d (13)
At time 145000, value = 0000000e (14)
At time 155000, value = 0000000f (15)
At time 165000, value = 00000010 (16)
At time 175000, value = 00000011 (17)
At time 185000, value = 00000012 (18)
At time 195000, value = 00000013 (19)
At time 205000, value = 00000014 (20)
At time 215000, value = 00000015 (21)
At time 225000, value = 00000016 (22)
At time 235000, value = 00000017 (23)
At time 245000, value = 00000018 (24)
At time 255000, value = 00000019 (25)
At time 265000, value = 0000001a (26)
At time 275000, value = 0000001b (27)
At time 285000, value = 0000001c (28)
At time 295000, value = 0000001d (29)
At time 305000, value = 0000001e (30)
At time 315000, value = 0000001f (31)
At time 325000, value = 00000020 (32)
At time 335000, value = 00000021 (33)
At time 345000, value = 00000022 (34)
At time 355000, value = 00000023 (35)
At time 365000, value = 00000024 (36)
At time 375000, value = 00000025 (37)
At time 385000, value = 00000026 (38)
At time 395000, value = 00000027 (39)
At time 405000, value = 00000028 (40)
At time 415000, value = 00000029 (41)
At time 425000, value = 0000002a (42)
At time 435000, value = 0000002b (43)
At time 445000, value = 0000002c (44)
At time 455000, value = 0000002d (45)
At time 465000, value = 0000002e (46)
At time 475000, value = 0000002f (47)
At time 485000, value = 00000030 (48)
At time 495000, value = 00000031 (49)
At time 505000, value = 00000032 (50)
At time 515000, value = 00000033 (51)
At time 525000, value = 00000034 (52)
At time 535000, value = 00000035 (53)
At time 545000, value = 00000036 (54)
At time 555000, value = 00000037 (55)
At time 565000, value = 00000038 (56)
At time 575000, value = 00000039 (57)
At time 585000, value = 0000003a (58)
At time 595000, value = 0000003b (59)
At time 605000, value = 0000003c (60)
At time 615000, value = 0000003d (61)
At time 625000, value = 0000003e (62)
At time 635000, value = 0000003f (63)
At time 645000, value = 00000040 (64)
At time 655000, value = 00000041 (65)
At time 665000, value = 00000042 (66)
At time 675000, value = 00000043 (67)
At time 685000, value = 00000044 (68)
At time 695000, value = 00000045 (69)
At time 705000, value = 00000046 (70)
At time 715000, value = 00000047 (71)
At time 725000, value = 00000048 (72)
At time 735000, value = 00000049 (73)
At time 745000, value = 0000004a (74)
At time 755000, value = 0000004b (75)
At time 765000, value = 0000004c (76)
At time 775000, value = 0000004d (77)
At time 785000, value = 0000004e (78)
At time 795000, value = 0000004f (79)
At time 805000, value = 00000050 (80)
At time 815000, value = 00000051 (81)
At time 825000, value = 00000052 (82)
At time 835000, value = 00000053 (83)
At time 845000, value = 00000054 (84)
At time 855000, value = 00000055 (85)
At time 865000, value = 00000056 (86)
At time 875000, value = 00000057 (87)
At time 885000, value = 00000058 (88)
At time 895000, value = 00000059 (89)
At time 905000, value = 0000005a (90)
At time 915000, value = 0000005b (91)
At time 925000, value = 0000005c (92)
At time 935000, value = 0000005d (93)
At time 945000, value = 0000005e (94)
At time 955000, value = 0000005f (95)
At time 965000, value = 00000060 (96)
At time 975000, value = 00000061 (97)
At time 985000, value = 00000062 (98)
At time 995000, value = 00000063 (99)
