Time resolution is 1 ps
Time=0 | output_data_0=  0 | an=1110 | seg=0000001
Time=3 | output_data_0=  0 | an=1101 | seg=0000001
Time=11 | output_data_0=  0 | an=1011 | seg=0000001
Time=19 | output_data_0=  0 | an=1110 | seg=0000001
Time=27 | output_data_0=  0 | an=1101 | seg=0000001
Time=35 | output_data_0=  0 | an=1011 | seg=0000001
Time=43 | output_data_0=  0 | an=1110 | seg=0000001
Time=51 | output_data_0=  0 | an=1101 | seg=0000001
Time=59 | output_data_0=  0 | an=1011 | seg=0000001
Time=67 | output_data_0=  0 | an=1110 | seg=0000001
Time=75 | output_data_0=  0 | an=1101 | seg=0000001
Time=83 | output_data_0=  0 | an=1011 | seg=0000001
Time=91 | output_data_0=  0 | an=1110 | seg=0000001
Time=99 | output_data_0=  0 | an=1101 | seg=0000001
Time=100 | output_data_0=  2 | an=1101 | seg=0000001
Time=107 | output_data_0=  2 | an=1011 | seg=0000001
Time=115 | output_data_0=  2 | an=1110 | seg=0010010
Time=123 | output_data_0=  2 | an=1101 | seg=0000001
Time=131 | output_data_0=  2 | an=1011 | seg=0000001
Time=139 | output_data_0=  2 | an=1110 | seg=0010010
Time=147 | output_data_0=  2 | an=1101 | seg=0000001
Time=155 | output_data_0=  2 | an=1011 | seg=0000001
Time=163 | output_data_0=  2 | an=1110 | seg=0010010
Time=171 | output_data_0=  2 | an=1101 | seg=0000001
Time=179 | output_data_0=  2 | an=1011 | seg=0000001
Time=187 | output_data_0=  2 | an=1110 | seg=0010010
Time=195 | output_data_0=  2 | an=1101 | seg=0000001
Time=200 | output_data_0=  3 | an=1101 | seg=0000001
Time=203 | output_data_0=  3 | an=1011 | seg=0000001
Time=211 | output_data_0=  3 | an=1110 | seg=0000110
Time=219 | output_data_0=  3 | an=1101 | seg=0000001
Time=227 | output_data_0=  3 | an=1011 | seg=0000001
Time=235 | output_data_0=  3 | an=1110 | seg=0000110
Time=243 | output_data_0=  3 | an=1101 | seg=0000001
Time=251 | output_data_0=  3 | an=1011 | seg=0000001
Time=259 | output_data_0=  3 | an=1110 | seg=0000110
Time=267 | output_data_0=  3 | an=1101 | seg=0000001
Time=275 | output_data_0=  3 | an=1011 | seg=0000001
Time=283 | output_data_0=  3 | an=1110 | seg=0000110
Time=291 | output_data_0=  3 | an=1101 | seg=0000001
Time=299 | output_data_0=  3 | an=1011 | seg=0000001
Time=300 | output_data_0=  4 | an=1011 | seg=0000001
Time=307 | output_data_0=  4 | an=1110 | seg=1001100
Time=315 | output_data_0=  4 | an=1101 | seg=0000001
Time=323 | output_data_0=  4 | an=1011 | seg=0000001
Time=331 | output_data_0=  4 | an=1110 | seg=1001100
Time=339 | output_data_0=  4 | an=1101 | seg=0000001
Time=347 | output_data_0=  4 | an=1011 | seg=0000001
Time=355 | output_data_0=  4 | an=1110 | seg=1001100
Time=363 | output_data_0=  4 | an=1101 | seg=0000001
Time=371 | output_data_0=  4 | an=1011 | seg=0000001
Time=379 | output_data_0=  4 | an=1110 | seg=1001100
Time=387 | output_data_0=  4 | an=1101 | seg=0000001
Time=395 | output_data_0=  4 | an=1011 | seg=0000001
$finish called at time : 400 ps : File "/home/lukas/fpga_vivado/projects/seg_display_driver/seg_display_driver.srcs/sim_1/new/seg_display_driver_tb.v" Line 61
