Time resolution is 1 ps
Time=0 | an=1110 | seg=0000000 | LED=00001000
Time=15000 | an=1101 | seg=0000001 | LED=00001000
Time=55000 | an=1011 | seg=0000001 | LED=00001000
Time=95000 | an=1110 | seg=0000000 | LED=00001000
Time=135000 | an=1101 | seg=0000001 | LED=00001000
Time=175000 | an=1011 | seg=0000001 | LED=00001000
Time=215000 | an=1110 | seg=0000000 | LED=00001000
Time=255000 | an=1101 | seg=0000001 | LED=00001000
Time=295000 | an=1011 | seg=0000001 | LED=00001000
Time=335000 | an=1110 | seg=0000000 | LED=00001000
Time=375000 | an=1101 | seg=0000001 | LED=00001000
Time=415000 | an=1011 | seg=0000001 | LED=00001000
Time=455000 | an=1110 | seg=0000000 | LED=00001000
Time=495000 | an=1101 | seg=0000001 | LED=00001000
Time=535000 | an=1011 | seg=0000001 | LED=00001000
Time=575000 | an=1110 | seg=0000000 | LED=00001000
Time=615000 | an=1101 | seg=0000001 | LED=00001000
Time=655000 | an=1011 | seg=0000001 | LED=00001000
Time=695000 | an=1110 | seg=0000000 | LED=00001000
Time=735000 | an=1101 | seg=0000001 | LED=00001000
Time=775000 | an=1011 | seg=0000001 | LED=00001000
Time=815000 | an=1110 | seg=0000000 | LED=00001000
Time=855000 | an=1101 | seg=0000001 | LED=00001000
Time=895000 | an=1011 | seg=0000001 | LED=00001000
Time=935000 | an=1110 | seg=0000000 | LED=00001000
Time=975000 | an=1101 | seg=0000001 | LED=00001000
