Time resolution is 1 ps
Time=0 | an=1xxx | seg=xxxxxx1 | LED=00000001
Time=0 | an=1110 | seg=1001111 | LED=00000001
Time=115000 | an=1101 | seg=0000001 | LED=00000001
Time=155000 | an=1011 | seg=0000001 | LED=00000001
Time=195000 | an=1110 | seg=1001111 | LED=00000001
Time=235000 | an=1101 | seg=0000001 | LED=00000001
Time=275000 | an=1011 | seg=0000001 | LED=00000001
Time=315000 | an=1110 | seg=1001111 | LED=00000001
Time=355000 | an=1101 | seg=0000001 | LED=00000001
Time=395000 | an=1011 | seg=0000001 | LED=00000001
Time=435000 | an=1110 | seg=1001111 | LED=00000001
Time=475000 | an=1101 | seg=0000001 | LED=00000001
Time=515000 | an=1011 | seg=0000001 | LED=00000001
Time=555000 | an=1110 | seg=1001111 | LED=00000001
Time=595000 | an=1101 | seg=0000001 | LED=00000001
Time=635000 | an=1011 | seg=0000001 | LED=00000001
Time=675000 | an=1110 | seg=1001111 | LED=00000001
Time=715000 | an=1101 | seg=0000001 | LED=00000001
Time=755000 | an=1011 | seg=0000001 | LED=00000001
Time=795000 | an=1110 | seg=1001111 | LED=00000001
Time=835000 | an=1101 | seg=0000001 | LED=00000001
Time=875000 | an=1011 | seg=0000001 | LED=00000001
Time=915000 | an=1110 | seg=1001111 | LED=00000001
Time=955000 | an=1101 | seg=0000001 | LED=00000001
Time=995000 | an=1011 | seg=0000001 | LED=00000001
